Institution Name,Cert,FIN,Location,Effective Date,Ins. Fund,Transaction Type,Charter Class,Failure / Assistance,Total Deposits,Total Assets,Estimated Loss,City,ST,Acquiring Institution,lat,lng
GREAT BASIN BANK OF NEVADA,33824,10051,"ELKO, NV",4/17/2009,DIF,PA ,NM ,FAILURE,"220,834","238,940","20,538",Elko,NV,Nevada State Bank,40.832421,-115.763123
AMERICAN STERLING BANK,8266,10052,"SUGAR CREEK, MO",4/17/2009,DIF,PA ,SB ,FAILURE,"170,946","166,456","47,037",Sugar Creek,MO,Metcalf Bank,39.109727,-94.444674
CAPE FEAR BANK,34639,10049,"WILMINGTON, NC",4/10/2009,DIF,PA ,NM ,FAILURE,"402,820","492,418","118,613",Wilmington,NC,First Federal Savings and Loan Association,34.225726,-77.94471
NEW FRONTIER BANK,34881,10050,"GREELEY, CO",4/10/2009,DIF,PO ,NM ,FAILURE,"1,496,347","1,774,588","920,747",Greeley,CO,No Acquirer,40.423314,-104.709132
OMNI NATIONAL BANK,22238,10048,"ATLANTA, GA",3/27/2009,DIF,PO ,N ,FAILURE,"813,205","979,585","305,510",Atlanta,GA,No Acquirer,33.748995,-84.387982
FIRSTCITY BANK,18243,10047,"STOCKBRIDGE, GA",3/20/2009,DIF,PO ,NM ,FAILURE,"259,056","285,015","139,446",Stockbridge,GA,No Acquirer,33.544278,-84.233809
"TEAMBANK, N.A.",4754,10046,"PAOLA, KS",3/20/2009,DIF,PA ,N ,FAILURE,"532,520","669,830","134,593",Paola,KS,Great Southern Bank,38.572235,-94.879129
COLORADO NATIONAL BANK,18896,10045,"COLORADO SPRINGS, CO",3/20/2009,DIF,PA ,N ,FAILURE,"85,150","123,508","12,687",Colorado Springs,CO,Herring Bank,38.833882,-104.821363
FREEDOM BANK OF GEORGIA,57558,10044,"COMMERCE, GA",3/6/2009,DIF,PA ,NM ,FAILURE,"159,048","172,454","43,793",Commerce,GA,Northeast Georgia Bank,34.203997,-83.457106
SECURITY SAVINGS BANK,34820,10043,"HENDERSON, NV",2/27/2009,DIF,PA ,NM ,FAILURE,"174,872","238,307","35,125",Henderson,NV,Bank of Nevada,36.039525,-114.981721
HERITAGE COMMUNITY BANK,20078,10042,"GLENWOOD, IL",2/27/2009,DIF,PA ,NM ,FAILURE,"225,735","235,154","49,909",Glenwood,IL,"MB Financial Bank, N.A.",41.542535,-87.602266
SILVER FALLS BANK,35399,10041,"SILVERTON, OR",2/20/2009,DIF,PA ,NM ,FAILURE,"115,976","134,206","39,946",Silverton,OR,Citizens Bank,45.005121,-122.783145
PINNACLE BANK,57342,10040,"BEAVERTON, OR",2/13/2009,DIF,PA ,NM ,FAILURE,"64,168","71,921","10,218",Beaverton,OR,Washington Trust Bank of Spokane,45.487062,-122.803710
RIVERSIDE BANK OF THE GULF COAST,34563,10038,"CAPE CORAL, FL",2/13/2009,DIF,PA ,SM ,FAILURE,"422,708","523,673","200,275",Cape Coral,FL,TIB Bank,26.562854,-81.949533
